,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,907.683,30.128,15.52,0.568,14.5,17.5
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2313.633,48.1,39.475,0.016,26.9,27.7
12,Europe,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,4783.197,69.161,59.77,-0.524,32.7,30.9
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6011.433,77.533,52.061,-0.384,20.2,22.1
14,Africa,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,732.227,27.06,19.793,-3.441,25.4,26.7
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,217.711,14.755,7.748,-0.384,11.2,7.5
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,194.902,13.961,12.212,-0.842,17.4,16.3
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,189.768,13.776,11.309,-3.688,11.1,10.7
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3901.525,62.462,49.693,-1.567,26.1,29.4
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,6513.539,80.707,68.524,-2.426,23.5,25.2
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,715.993,26.758,15.035,0.659,14.5,17.0
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,399.054,19.976,9.309,0.83,5.5,6.5
22,Europe,Residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2034.201,45.102,30.64,0.352,20.1,15.8
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3836.665,61.941,38.866,0.116,15.9,16.5
24,Africa,Residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,388.503,19.71,12.335,-1.356,14.9,16.6
25,Africa,Non-residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,194.843,13.959,6.538,-0.239,9.9,6.3
26,Central and South America,Residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,96.34,9.815,6.724,0.09,9.4,9.0
27,Central and South America,Non-residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,16.202,4.025,3.078,0.6,2.8,2.9
28,Northern America,Residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,695.178,26.366,21.844,0.543,11.7,12.9
29,Northern America,Non-residential EUI (kWh/m2/year),all_domain,CatBoostRegressor,"iterations = 100, depth = 6, learning_rate = 0.1, loss_function = RMSE, verbose = False, random_seed = 42, eval_metric = RMSE, early_stopping_rounds = 20, subsample = 0.8, colsample_bylevel = 0.8, l2_leaf_reg = 3, bootstrap_type = Bernoulli","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2445.383,49.451,32.013,-0.286,10.0,11.8
