,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,964.36,31.054,20.882,0.555,24.1,23.8
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,1150.51,33.919,30.224,0.173,22.5,22.2
12,Europe,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,2186.957,46.765,35.524,0.303,22.9,18.3
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,3529.246,59.407,43.208,0.187,21.2,18.3
14,Africa,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,1561.726,39.519,32.368,-8.472,44.0,43.6
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,3564.068,59.7,50.868,-21.659,51.4,49.1
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,448.436,21.176,17.949,-3.252,24.5,23.8
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,2293.876,47.894,43.842,-52.338,42.1,41.3
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,1941.759,44.065,34.278,-0.278,17.8,20.3
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,16430.494,128.181,124.467,-7.642,45.2,45.8
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,833.35,28.868,21.094,0.615,27.2,24.0
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,608.862,24.675,20.043,0.562,14.7,14.7
22,Europe,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,2156.581,46.439,36.162,0.313,25.3,18.7
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,3402.808,58.334,42.779,0.216,20.5,18.2
24,Africa,Residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,764.261,27.645,20.275,-3.635,26.4,27.3
25,Africa,Non-residential EUI (kWh/m2/year),all_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,770.069,27.75,24.082,-3.896,26.4,23.3
