,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,828.728,28.788,18.802,0.617,20.6,21.4
11,Asia & Oceania,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,483.226,21.982,15.09,0.652,10.6,11.1
12,Europe,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,4545.841,67.423,58.179,-0.449,30.0,30.0
13,Europe,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,7465.45,86.403,61.89,-0.719,24.0,26.3
14,Africa,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,293.301,17.126,11.491,-0.779,15.5,15.5
15,Africa,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,371.964,19.286,11.573,-1.365,15.7,11.2
16,Central and South America,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,194.16,13.934,11.09,-0.841,15.2,14.7
17,Central and South America,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,211.475,14.542,12.055,-3.917,11.8,11.4
18,Northern America,Residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,857.855,29.289,25.237,0.436,14.6,14.9
19,Northern America,Non-residential EUI (kWh/m2/year),cross_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,5567.373,74.615,69.129,-1.928,24.5,25.4
20,Asia & Oceania,Residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,968.753,31.125,20.423,0.553,22.6,23.3
21,Asia & Oceania,Non-residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,271.595,16.48,10.108,0.805,7.1,7.4
22,Europe,Residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,2860.683,53.485,41.05,0.088,28.0,21.2
23,Europe,Non-residential EUI (kWh/m2/year),all_domain,RandomForestRegressor,"n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=3, max_features=sqrt, bootstrap=False, random_state=42, n_jobs=-1, criterion=absolute_error","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_20_0, Cluster_20_1, Cluster_20_2, Cluster_20_3, Cluster_20_4, Cluster_20_5, Cluster_20_6, Cluster_20_7, Cluster_20_8, Cluster_20_9, Cluster_20_10, Cluster_20_11, Cluster_20_12, Cluster_20_13, Cluster_20_14, Cluster_20_15, Cluster_20_16, Cluster_20_17, Cluster_20_18, Cluster_20_19",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9 | Fuzzy C-means Image Cluster 10 | Fuzzy C-means Image Cluster 11 | Fuzzy C-means Image Cluster 12 | Fuzzy C-means Image Cluster 13 | Fuzzy C-means Image Cluster 14 | Fuzzy C-means Image Cluster 15 | Fuzzy C-means Image Cluster 16 | Fuzzy C-means Image Cluster 17 | Fuzzy C-means Image Cluster 18 | Fuzzy C-means Image Cluster 19,4110.35,64.112,44.593,0.053,20.8,18.9
